Date,Stock,Market,joined date
2020-01-02,22.84,3257.85,2021-04-30
2020-01-03,23.08,3234.85,2021-04-30
2020-01-06,22.69,3246.28,2021-04-30
2020-01-07,22.83,3237.18,2021-04-30
2020-01-08,23.13,3253.05,2021-04-30
2020-01-09,22.86,3274.7,2021-04-30
2020-01-10,22.76,3265.35,2021-04-30
2020-01-13,22.53,3288.13,2021-04-30
2020-01-14,22.67,3283.15,2021-04-30
2020-01-15,22.73,3289.29,2021-04-30
2020-01-16,23.2,3316.81,2021-04-30
2020-01-17,22.94,3329.62,2021-04-30
2020-01-21,22.71,3320.79,2021-04-30
2020-01-22,22.74,3321.75,2021-04-30
2020-01-23,22.96,3325.54,2021-04-30
2020-01-24,22.17,3295.47,2021-04-30
2020-01-27,21.65,3243.63,2021-04-30
2020-01-28,21.54,3276.24,2021-04-30
2020-01-29,22.13,3273.4,2021-04-30
2020-01-30,22.41,3283.66,2021-04-30
2020-01-31,22.52,3225.52,2021-04-30
2020-02-03,22.57,3248.92,2021-04-30
2020-02-04,22.04,3297.59,2021-04-30
2020-02-05,21.93,3334.69,2021-04-30
2020-02-06,21.72,3345.78,2021-04-30
2020-02-07,22.3,3327.71,2021-04-30
2020-02-10,22.27,3352.09,2021-04-30
2020-02-11,22.98,3357.75,2021-04-30
2020-02-12,22.93,3379.45,2021-04-30
2020-02-13,23.07,3373.94,2021-04-30
2020-02-14,23.29,3380.16,2021-04-30
2020-02-18,23.36,3370.29,2021-04-30
2020-02-19,22.69,3386.15,2021-04-30
2020-02-20,22.91,3373.23,2021-04-30
2020-02-21,23.43,3337.75,2021-04-30
2020-02-24,22.98,3225.89,2021-04-30
2020-02-25,22.14,3128.21,2021-04-30
2020-02-26,21.68,3116.39,2021-04-30
2020-02-27,20.59,2978.76,2021-04-30
2020-02-28,19.23,2954.22,2021-04-30
2020-03-02,20.14,3090.23,2021-04-30
2020-03-03,20.25,3003.37,2021-04-30
2020-03-04,21.05,3130.12,2021-04-30
2020-03-05,20.64,3023.94,2021-04-30
2020-03-06,20.53,2972.37,2021-04-30
2020-03-09,18.43,2746.56,2021-04-30
2020-03-10,19.34,2882.23,2021-04-30
2020-03-11,17.79,2741.38,2021-04-30
2020-03-12,14.55,2480.64,2021-04-30
2020-03-13,15.49,2711.02,2021-04-30
2020-03-16,13.69,2386.13,2021-04-30
2020-03-17,12.89,2529.19,2021-04-30
2020-03-18,12.6,2398.1,2021-04-30
2020-03-19,14.22,2409.39,2021-04-30
2020-03-20,14.08,2304.92,2021-04-30
2020-03-23,12.92,2237.4,2021-04-30
2020-03-24,14.61,2447.33,2021-04-30
2020-03-25,14.69,2475.56,2021-04-30
2020-03-26,15.79,2630.07,2021-04-30
2020-03-27,16.39,2541.47,2021-04-30
2020-03-30,16.06,2626.65,2021-04-30
2020-03-31,15.96,2584.59,2021-04-30
2020-04-01,15.33,2470.5,2021-04-30
2020-04-02,15.98,2526.9,2021-04-30
2020-04-03,15.83,2488.65,2021-04-30
2020-04-06,16.02,2663.68,2021-04-30
2020-04-07,16.3,2659.41,2021-04-30
2020-04-08,17.46,2749.98,2021-04-30
2020-04-09,17.79,2789.82,2021-04-30
2020-04-13,17.14,2761.63,2021-04-30
2020-04-14,17.42,2846.06,2021-04-30
2020-04-15,16.19,2783.36,2021-04-30
2020-04-16,16.1,2799.55,2021-04-30
2020-04-17,17.54,2874.56,2021-04-30
2020-04-20,16.89,2823.16,2021-04-30
2020-04-21,17.02,2736.56,2021-04-30
2020-04-22,17.64,2799.31,2021-04-30
