Date,Stock,Market,joined date
2018-01-02,14.256091238984,1025.85,2020-02-12
2018-01-03,13.994319648851,1031.09,2020-02-12
2018-01-04,13.673939118877,1031.0,2020-02-12
2018-01-05,13.7820719963808,1039.54,2020-02-12
2018-01-08,14.1125791622465,1047.69,2020-02-12
2018-01-09,13.9266478584252,1050.34,2020-02-12
2018-01-10,13.5932611311673,1045.4,2020-02-12
2018-01-11,13.582600827301,1036.62,2020-02-12
2018-01-12,13.9884166094041,1029.65,2020-02-12
2018-01-15,14.381215833498,1028.13,2020-02-12
2018-01-16,14.5262984607786,1033.05,2020-02-12
2018-01-17,14.351889741869,1038.09,2020-02-12
2018-01-18,14.4707855193503,1036.12,2020-02-12
2018-01-19,14.199375923797,1047.24,2020-02-12
2018-01-22,14.4537427517132,1049.41,2020-02-12
2018-01-23,14.5529046328729,1051.7,2020-02-12
2018-01-24,14.1233333333334,1044.81,2020-02-12
2018-01-25,13.5234161614816,1029.22,2020-02-12
2018-01-26,13.4178693584717,1038.48,2020-02-12
2018-01-29,13.2268530072373,1035.79,2020-02-12
2018-01-30,13.7857476168256,1026.8,2020-02-12
2018-01-31,13.6453867583032,1017.79,2020-02-12
2018-02-01,13.8628838428829,986.4,2020-02-12
2018-02-02,13.5351438234605,969.28,2020-02-12
2018-02-05,13.3074162679426,969.19,2020-02-12
2018-02-06,13.4843419980376,952.22,2020-02-12
2018-02-07,13.9189189189189,968.98,2020-02-12
2018-02-08,13.5746606334841,961.24,2020-02-12
2018-02-09,14.0976547734482,959.04,2020-02-12
2018-02-12,14.2043672735076,979.44,2020-02-12
2018-02-13,13.998673740053,970.15,2020-02-12
2018-02-14,14.3733391272375,979.77,2020-02-12
2018-02-15,14.2701250734492,985.81,2020-02-12
2018-02-16,14.204337253073,1005.87,2020-02-12
2018-02-19,14.3190376220467,994.25,2020-02-12
2018-02-20,14.8118693772056,995.74,2020-02-12
2018-02-21,14.6205486004586,998.53,2020-02-12
2018-02-22,14.6502193890223,1011.52,2020-02-12
2018-02-23,14.7644134696372,1020.03,2020-02-12
2018-02-26,14.8327100638713,1030.41,2020-02-12
2018-02-27,14.7587045465748,1017.55,2020-02-12
2018-02-28,14.5299705207992,1011.81,2020-02-12
2018-03-01,14.5779798379127,996.77,2020-02-12
2018-03-02,14.1822151647479,981.41,2020-02-12
2018-03-05,14.2800357746199,984.85,2020-02-12
2018-03-06,14.4229648500591,985.39,2020-02-12
2018-03-07,14.5224967100331,987.76,2020-02-12
2018-03-08,14.5473781657079,998.65,2020-02-12
2018-03-09,14.2588064238979,998.09,2020-02-12
2018-03-12,14.3271221532091,1000.2,2020-02-12
2018-03-13,14.258861885989,991.71,2020-02-12
2018-03-14,14.6078236036395,988.79,2020-02-12
2018-03-15,14.3489609145274,994.24,2020-02-12
2018-03-16,14.1695127786302,990.93,2020-02-12
2018-03-19,14.3325604504803,987.95,2020-02-12
2018-03-20,14.562069588942,987.41,2020-02-12
2018-03-21,14.7438870850176,988.06,2020-02-12
2018-03-22,14.4525378656492,972.91,2020-02-12
2018-03-23,14.4902055101262,971.8,2020-02-12
2018-03-26,14.7282935632645,966.42,2020-02-12
2018-03-27,14.5367332322912,968.96,2020-02-12
2018-03-28,14.1988767756855,976.57,2020-02-12
2018-04-03,14.6266739141177,973.05,2020-02-12
2018-04-04,13.9233621755253,956.88,2020-02-12
2018-04-05,14.0973797547424,973.88,2020-02-12
2018-04-06,14.3787831307417,972.95,2020-02-12
2018-04-09,14.4774069723192,978.11,2020-02-12
2018-04-10,14.3535112173105,984.19,2020-02-12
2018-04-11,13.9293070227892,971.22,2020-02-12
2018-04-12,13.6617992781696,974.06,2020-02-12
2018-04-13,13.754616059748,968.06,2020-02-12
2018-04-16,13.8637232574762,966.55,2020-02-12
2018-04-17,13.6626361945257,973.74,2020-02-12
2018-04-18,13.6244309307812,973.76,2020-02-12
2018-04-19,13.7990484558129,967.13,2020-02-12
2018-04-20,13.5627897767585,963.98,2020-02-12
2018-04-23,13.5311475409836,967.59,2020-02-12
2018-04-24,13.3033324026475,970.16,2020-02-12
2018-04-25,13.2860967805133,958.95,2020-02-12
2018-04-26,13.2605481633117,970.25,2020-02-12
2018-04-30,12.9772848873973,971.17,2020-02-12
2018-05-01,13.0062455733694,975.74,2020-02-12
2018-05-02,13.175036098187,996.36,2020-02-12
2018-05-03,13.2687386328886,989.63,2020-02-12
2018-05-04,13.2836587872559,986.9,2020-02-12
2018-05-07,13.8270972697885,1001.3,2020-02-12
2018-05-08,13.8535310891972,1011.18,2020-02-12
2018-05-09,14.0049961017677,1006.88,2020-02-12
2018-05-14,14.0075578043938,1020.14,2020-02-12
2018-05-15,13.9036753372634,1001.48,2020-02-12
2018-05-16,13.882987157127,1004.1,2020-02-12
2018-05-17,14.349292830105,1004.25,2020-02-12
2018-05-18,14.2522921277268,999.6,2020-02-12
2018-05-22,14.3480736382615,1003.45,2020-02-12
2018-05-23,13.8868825173508,1000.56,2020-02-12
2018-05-24,13.5034773578374,990.11,2020-02-12
2018-05-25,13.4257159391276,993.89,2020-02-12
2018-05-28,13.0552867355539,984.48,2020-02-12
2018-05-29,12.8137937450576,974.34,2020-02-12
2018-05-30,12.8988778133032,974.91,2020-02-12
2018-05-31,13.1202664906823,978.09,2020-02-12
2018-06-01,13.2781903061065,990.98,2020-02-12
2018-06-04,13.2079920770912,988.85,2020-02-12
2018-06-06,13.1699217205661,979.52,2020-02-12
2018-06-07,13.0655176783677,971.58,2020-02-12
2018-06-08,12.8799848322063,963.73,2020-02-12
2018-06-11,13.1582693980859,967.37,2020-02-12
2018-06-12,13.0279192218561,965.98,2020-02-12
2018-06-13,13.0171895280003,970.34,2020-02-12
2018-06-14,12.8633540372671,978.92,2020-02-12
2018-06-15,13.0694920535992,980.22,2020-02-12
2018-06-18,13.041511317723,970.99,2020-02-12
2018-06-19,12.9874976674753,965.55,2020-02-12
2018-06-20,12.7354900834019,973.38,2020-02-12
2018-06-21,12.7150709247466,978.95,2020-02-12
2018-06-22,12.8511543514985,983.54,2020-02-12
