Date,Stock,Market,joined date
2018-01-02,103.4,2695.81,2020-10-19
2018-01-03,105.17,2713.06,2020-10-19
2018-01-04,109.25,2723.99,2020-10-19
2018-01-05,109.32,2743.15,2020-10-19
2018-01-08,109.94,2747.71,2020-10-19
2018-01-09,109.7,2751.29,2020-10-19
2018-01-10,114.14,2748.23,2020-10-19
2018-01-11,114.24,2767.56,2020-10-19
2018-01-12,112.9,2786.24,2020-10-19
2018-01-16,110.09,2776.42,2020-10-19
2018-01-17,112.26,2802.56,2020-10-19
2018-01-18,113.28,2798.03,2020-10-19
2018-01-19,114.11,2810.3,2020-10-19
2018-01-22,115.3,2832.97,2020-10-19
2018-01-23,117.21,2839.13,2020-10-19
2018-01-24,115.87,2837.54,2020-10-19
2018-01-25,115.32,2839.25,2020-10-19
2018-01-26,118.81,2872.87,2020-10-19
2018-01-29,116.52,2853.53,2020-10-19
2018-01-30,120.26,2822.43,2020-10-19
2018-01-31,119.89,2823.81,2020-10-19
2018-02-01,119.03,2821.98,2020-10-19
2018-02-02,117.49,2762.13,2020-10-19
2018-02-05,114.75,2648.94,2020-10-19
2018-02-06,116.07,2695.14,2020-10-19
2018-02-07,117.77,2681.66,2020-10-19
2018-02-08,110.97,2581.0,2020-10-19
2018-02-09,112.96,2619.55,2020-10-19
2018-02-12,115.63,2656.0,2020-10-19
2018-02-13,116.63,2662.94,2020-10-19
2018-02-14,120.71,2698.63,2020-10-19
2018-02-15,124.31,2731.2,2020-10-19
2018-02-16,124.01,2732.22,2020-10-19
2018-02-20,126.02,2716.26,2020-10-19
2018-02-21,125.67,2701.33,2020-10-19
2018-02-22,124.36,2703.96,2020-10-19
2018-02-23,127.33,2747.3,2020-10-19
2018-02-26,127.8,2779.6,2020-10-19
2018-02-27,128.21,2744.28,2020-10-19
2018-02-28,126.67,2713.83,2020-10-19
2018-03-01,123.95,2677.67,2020-10-19
2018-03-02,131.28,2691.25,2020-10-19
2018-03-05,132.92,2720.94,2020-10-19
