Date,Stock,Market,joined date
2020-01-02,53.75,3257.85,2021-01-15
2020-01-03,53.42,3234.85,2021-01-15
2020-01-06,53.1,3246.28,2021-01-15
2020-01-07,52.66,3237.18,2021-01-15
2020-01-08,52.82,3253.05,2021-01-15
2020-01-09,52.73,3274.7,2021-01-15
2020-01-10,52.5,3265.35,2021-01-15
2020-01-13,52.11,3288.13,2021-01-15
2020-01-14,49.3,3283.15,2021-01-15
2020-01-15,48.32,3289.29,2021-01-15
2020-01-16,49.25,3316.81,2021-01-15
2020-01-17,49.18,3329.62,2021-01-15
2020-01-21,48.94,3320.79,2021-01-15
2020-01-22,48.56,3321.75,2021-01-15
2020-01-23,48.22,3325.54,2021-01-15
2020-01-24,47.57,3295.47,2021-01-15
2020-01-27,47.1,3243.63,2021-01-15
2020-01-28,47.37,3276.24,2021-01-15
2020-01-29,47.27,3273.4,2021-01-15
2020-01-30,47.91,3283.66,2021-01-15
2020-01-31,46.94,3225.52,2021-01-15
2020-02-03,47.12,3248.92,2021-01-15
2020-02-04,47.26,3297.59,2021-01-15
2020-02-05,48.31,3334.69,2021-01-15
2020-02-06,47.98,3345.78,2021-01-15
2020-02-07,47.84,3327.71,2021-01-15
2020-02-10,47.77,3352.09,2021-01-15
2020-02-11,47.99,3357.75,2021-01-15
2020-02-12,47.79,3379.45,2021-01-15
2020-02-13,48.12,3373.94,2021-01-15
2020-02-14,48.22,3380.16,2021-01-15
2020-02-18,46.99,3370.29,2021-01-15
2020-02-19,47.09,3386.15,2021-01-15
2020-02-20,47.34,3373.23,2021-01-15
2020-02-21,47.7,3337.75,2021-01-15
2020-02-24,46.39,3225.89,2021-01-15
2020-02-25,45.12,3128.21,2021-01-15
2020-02-26,44.14,3116.39,2021-01-15
2020-02-27,42.47,2978.76,2021-01-15
2020-02-28,40.85,2954.22,2021-01-15
2020-03-02,42.26,3090.23,2021-01-15
2020-03-03,40.53,3003.37,2021-01-15
2020-03-04,41.4,3130.12,2021-01-15
2020-03-05,38.9,3023.94,2021-01-15
2020-03-06,37.09,2972.37,2021-01-15
2020-03-09,32.48,2746.56,2021-01-15
2020-03-10,35.08,2882.23,2021-01-15
2020-03-11,32.33,2741.38,2021-01-15
2020-03-12,27.2,2480.64,2021-01-15
2020-03-13,30.89,2711.02,2021-01-15
2020-03-16,26.5,2386.13,2021-01-15
2020-03-17,29.63,2529.19,2021-01-15
2020-03-18,28.12,2398.1,2021-01-15
2020-03-19,28.29,2409.39,2021-01-15
2020-03-20,26.5,2304.92,2021-01-15
2020-03-23,25.25,2237.4,2021-01-15
2020-03-24,28.92,2447.33,2021-01-15
2020-03-25,28.97,2475.56,2021-01-15
2020-03-26,30.9,2630.07,2021-01-15
2020-03-27,30.28,2541.47,2021-01-15
2020-03-30,29.92,2626.65,2021-01-15
2020-03-31,28.7,2584.59,2021-01-15
2020-04-01,26.57,2470.5,2021-01-15
2020-04-02,27.22,2526.9,2021-01-15
2020-04-03,26.23,2488.65,2021-01-15
2020-04-06,28.63,2663.68,2021-01-15
2020-04-07,28.77,2659.41,2021-01-15
2020-04-08,30.28,2749.98,2021-01-15
2020-04-09,33.2,2789.82,2021-01-15
2020-04-13,31.43,2761.63,2021-01-15
2020-04-14,30.18,2846.06,2021-01-15
2020-04-15,28.44,2783.36,2021-01-15
2020-04-16,26.89,2799.55,2021-01-15
2020-04-17,28.38,2874.56,2021-01-15
2020-04-20,27.68,2823.16,2021-01-15
2020-04-21,26.84,2736.56,2021-01-15
2020-04-22,26.8,2799.31,2021-01-15
2020-04-23,26.53,2797.8,2021-01-15
2020-04-24,26.92,2836.74,2021-01-15
2020-04-27,28.41,2878.48,2021-01-15
2020-04-28,28.87,2863.39,2021-01-15
2020-04-29,30.0,2939.51,2021-01-15
2020-04-30,29.05,2912.43,2021-01-15
2020-05-01,27.59,2830.71,2021-01-15
2020-05-04,27.35,2842.74,2021-01-15
2020-05-05,26.32,2868.44,2021-01-15
2020-05-06,25.61,2848.42,2021-01-15
2020-05-07,25.23,2881.19,2021-01-15
2020-05-08,25.43,2929.8,2021-01-15
2020-05-11,24.78,2930.32,2021-01-15
2020-05-12,24.04,2870.12,2021-01-15
2020-05-13,22.53,2820.0,2021-01-15
2020-05-14,24.06,2852.5,2021-01-15
2020-05-15,23.36,2863.7,2021-01-15
2020-05-18,25.41,2953.91,2021-01-15
2020-05-19,23.95,2922.94,2021-01-15
2020-05-20,24.52,2971.61,2021-01-15
2020-05-21,24.46,2948.51,2021-01-15
2020-05-22,24.17,2955.45,2021-01-15
2020-05-26,26.26,2991.77,2021-01-15
2020-05-27,27.95,3036.13,2021-01-15
2020-05-28,27.22,3029.73,2021-01-15
2020-05-29,26.47,3044.31,2021-01-15
2020-06-01,27.09,3055.73,2021-01-15
2020-06-02,27.4,3080.82,2021-01-15
2020-06-03,28.83,3122.87,2021-01-15
2020-06-04,30.22,3112.35,2021-01-15
2020-06-05,31.67,3193.93,2021-01-15
2020-06-08,33.32,3232.39,2021-01-15
2020-06-09,32.63,3207.18,2021-01-15
2020-06-10,29.71,3190.14,2021-01-15
2020-06-11,26.79,3002.1,2021-01-15
2020-06-12,27.97,3041.31,2021-01-15
2020-06-15,28.21,3066.59,2021-01-15
2020-06-16,28.52,3124.74,2021-01-15
2020-06-17,27.45,3113.49,2021-01-15
2020-06-18,27.55,3115.34,2021-01-15
2020-06-19,27.6,3097.74,2021-01-15
2020-06-22,27.35,3117.86,2021-01-15
2020-06-23,27.23,3131.29,2021-01-15
2020-06-24,26.12,3050.33,2021-01-15
2020-06-25,27.37,3083.76,2021-01-15
2020-06-26,25.34,3009.05,2021-01-15
2020-06-29,25.7,3053.24,2021-01-15
2020-06-30,25.6,3100.29,2021-01-15
2020-07-01,25.09,3115.86,2021-01-15
2020-07-02,25.34,3130.01,2021-01-15
2020-07-06,25.49,3179.72,2021-01-15
2020-07-07,24.46,3145.32,2021-01-15
2020-07-08,24.55,3169.94,2021-01-15
2020-07-09,24.04,3152.05,2021-01-15
2020-07-10,25.47,3185.04,2021-01-15
2020-07-13,25.41,3155.22,2021-01-15
2020-07-14,24.25,3197.52,2021-01-15
2020-07-15,25.35,3226.56,2021-01-15
2020-07-16,25.46,3215.57,2021-01-15
2020-07-17,24.95,3224.73,2021-01-15
2020-07-20,24.57,3251.84,2021-01-15
2020-07-21,26.2,3257.3,2021-01-15
2020-07-22,26.26,3276.02,2021-01-15
2020-07-23,26.35,3235.66,2021-01-15
2020-07-24,26.26,3215.63,2021-01-15
2020-07-27,25.49,3239.41,2021-01-15
2020-07-28,25.53,3218.44,2021-01-15
2020-07-29,25.78,3258.44,2021-01-15
2020-07-30,24.65,3246.22,2021-01-15
2020-07-31,24.26,3271.12,2021-01-15
2020-08-03,24.29,3294.61,2021-01-15
2020-08-04,24.22,3306.51,2021-01-15
2020-08-05,24.4,3327.77,2021-01-15
2020-08-06,24.24,3349.16,2021-01-15
2020-08-07,25.07,3351.28,2021-01-15
2020-08-10,24.7,3360.47,2021-01-15
2020-08-11,25.32,3333.69,2021-01-15
2020-08-12,25.19,3380.35,2021-01-15
2020-08-13,25.02,3373.43,2021-01-15
2020-08-14,25.3,3372.85,2021-01-15
2020-08-17,24.47,3381.99,2021-01-15
2020-08-18,24.04,3389.78,2021-01-15
2020-08-19,24.07,3374.85,2021-01-15
2020-08-20,23.75,3385.51,2021-01-15
2020-08-21,23.64,3397.16,2021-01-15
2020-08-24,24.49,3431.28,2021-01-15
2020-08-25,24.61,3443.62,2021-01-15
2020-08-26,24.04,3478.73,2021-01-15
2020-08-27,24.59,3484.55,2021-01-15
2020-08-28,24.69,3508.01,2021-01-15
