Date,Stock,Market,joined date
2020-01-02,39.646627,3257.85,2021-04-14
2020-01-03,39.296627,3234.85,2021-04-14
2020-01-06,39.216627,3246.28,2021-04-14
2020-01-07,38.853294,3237.18,2021-04-14
2020-01-08,38.719961,3253.05,2021-04-14
2020-01-09,39.119961,3274.7,2021-04-14
2020-01-10,38.793295,3265.35,2021-04-14
2020-01-13,38.626628,3288.13,2021-04-14
2020-01-14,38.726628,3283.15,2021-04-14
2020-01-15,38.426628,3289.29,2021-04-14
2020-01-16,38.633295,3316.81,2021-04-14
2020-01-17,38.319962,3329.62,2021-04-14
2020-01-21,38.529961,3320.79,2021-04-14
2020-01-22,38.699961,3321.75,2021-04-14
2020-01-23,38.603295,3325.54,2021-04-14
2020-01-24,38.123295,3295.47,2021-04-14
2020-01-27,38.619961,3243.63,2021-04-14
2020-01-28,38.866628,3276.24,2021-04-14
2020-01-29,38.629961,3273.4,2021-04-14
2020-01-30,38.859961,3283.66,2021-04-14
2020-01-31,38.163295,3225.52,2021-04-14
2020-02-03,38.089962,3248.92,2021-04-14
2020-02-04,38.423295,3297.59,2021-04-14
2020-02-05,38.936628,3334.69,2021-04-14
2020-02-06,38.769961,3345.78,2021-04-14
2020-02-07,38.816628,3327.71,2021-04-14
2020-02-10,38.416628,3352.09,2021-04-14
2020-02-11,38.466628,3357.75,2021-04-14
2020-02-12,38.616628,3379.45,2021-04-14
2020-02-13,39.146628,3373.94,2021-04-14
2020-02-14,39.296627,3380.16,2021-04-14
2020-02-18,39.876627,3370.29,2021-04-14
2020-02-19,39.226627,3386.15,2021-04-14
2020-02-20,39.229961,3373.23,2021-04-14
2020-02-21,39.526627,3337.75,2021-04-14
2020-02-24,38.773295,3225.89,2021-04-14
2020-02-25,38.129962,3128.21,2021-04-14
2020-02-26,37.926629,3116.39,2021-04-14
2020-02-27,36.799963,2978.76,2021-04-14
2020-02-28,35.893297,2954.22,2021-04-14
2020-03-02,38.626628,3090.23,2021-04-14
2020-03-03,37.636629,3003.37,2021-04-14
2020-03-04,38.923294,3130.12,2021-04-14
2020-03-05,38.639961,3023.94,2021-04-14
2020-03-06,39.076628,2972.37,2021-04-14
2020-03-09,39.053294,2746.56,2021-04-14
2020-03-10,39.92996,2882.23,2021-04-14
2020-03-11,38.143295,2741.38,2021-04-14
2020-03-12,34.683299,2480.64,2021-04-14
2020-03-13,38.033295,2711.02,2021-04-14
2020-03-16,35.586631,2386.13,2021-04-14
2020-03-17,39.753294,2529.19,2021-04-14
2020-03-18,40.859959,2398.1,2021-04-14
2020-03-19,39.816627,2409.39,2021-04-14
2020-03-20,37.989962,2304.92,2021-04-14
2020-03-23,38.093295,2237.4,2021-04-14
2020-03-24,38.343295,2447.33,2021-04-14
2020-03-25,36.46663,2475.56,2021-04-14
2020-03-26,36.60663,2630.07,2021-04-14
2020-03-27,36.52663,2541.47,2021-04-14
2020-03-30,38.396628,2626.65,2021-04-14
2020-03-31,37.873295,2584.59,2021-04-14
2020-04-01,38.046629,2470.5,2021-04-14
2020-04-02,39.54996,2526.9,2021-04-14
2020-04-03,39.826627,2488.65,2021-04-14
2020-04-06,42.023291,2663.68,2021-04-14
2020-04-07,40.663293,2659.41,2021-04-14
2020-04-08,40.613293,2749.98,2021-04-14
2020-04-09,40.599959,2789.82,2021-04-14
2020-04-13,41.766625,2761.63,2021-04-14
2020-04-14,42.999957,2846.06,2021-04-14
2020-04-15,42.919957,2783.36,2021-04-14
2020-04-16,44.109956,2799.55,2021-04-14
2020-04-17,44.039956,2874.56,2021-04-14
2020-04-20,43.28329,2823.16,2021-04-14
2020-04-21,43.069957,2736.56,2021-04-14
2020-04-22,43.863289,2799.31,2021-04-14
2020-04-23,42.84329,2797.8,2021-04-14
2020-04-24,43.146624,2836.74,2021-04-14
2020-04-27,42.766624,2878.48,2021-04-14
2020-04-28,42.666624,2863.39,2021-04-14
2020-04-29,41.199959,2939.51,2021-04-14
2020-04-30,40.516626,2912.43,2021-04-14
2020-05-01,40.973292,2830.71,2021-04-14
2020-05-04,41.233292,2842.74,2021-04-14
2020-05-05,41.576625,2868.44,2021-04-14
2020-05-06,41.099959,2848.42,2021-04-14
2020-05-07,40.629959,2881.19,2021-04-14
2020-05-08,40.979959,2929.8,2021-04-14
2020-05-11,41.223292,2930.32,2021-04-14
2020-05-12,41.259959,2870.12,2021-04-14
2020-05-13,41.236625,2820.0,2021-04-14
2020-05-14,41.139959,2852.5,2021-04-14
2020-05-15,41.979958,2863.7,2021-04-14
2020-05-18,42.553291,2953.91,2021-04-14
2020-05-19,41.649958,2922.94,2021-04-14
2020-05-20,41.816625,2971.61,2021-04-14
2020-05-21,41.663292,2948.51,2021-04-14
2020-05-22,41.443292,2955.45,2021-04-14
2020-05-26,41.286625,2991.77,2021-04-14
2020-05-27,40.826626,3036.13,2021-04-14
2020-05-28,41.229959,3029.73,2021-04-14
2020-05-29,41.353292,3044.31,2021-04-14
2020-06-01,41.319959,3055.73,2021-04-14
2020-06-02,41.313292,3080.82,2021-04-14
2020-06-03,41.156626,3122.87,2021-04-14
2020-06-04,40.703293,3112.35,2021-04-14
2020-06-05,40.519959,3193.93,2021-04-14
2020-06-08,40.413293,3232.39,2021-04-14
2020-06-09,40.44996,3207.18,2021-04-14
2020-06-10,40.386626,3190.14,2021-04-14
2020-06-11,40.02996,3002.1,2021-04-14
2020-06-12,39.246627,3041.31,2021-04-14
2020-06-15,39.359961,3066.59,2021-04-14
2020-06-16,39.883293,3124.74,2021-04-14
2020-06-17,39.676627,3113.49,2021-04-14
2020-06-18,39.329961,3115.34,2021-04-14
2020-06-19,39.94996,3097.74,2021-04-14
2020-06-22,40.559959,3117.86,2021-04-14
2020-06-23,40.356626,3131.29,2021-04-14
2020-06-24,40.09996,3050.33,2021-04-14
2020-06-25,39.903293,3083.76,2021-04-14
2020-06-26,39.439961,3009.05,2021-04-14
2020-06-29,39.686627,3053.24,2021-04-14
2020-06-30,39.926627,3100.29,2021-04-14
2020-07-01,39.896627,3115.86,2021-04-14
2020-07-02,39.736627,3130.01,2021-04-14
2020-07-06,39.62996,3179.72,2021-04-14
2020-07-07,42.316624,3145.32,2021-04-14
2020-07-08,41.479959,3169.94,2021-04-14
2020-07-09,42.583291,3152.05,2021-04-14
2020-07-10,43.559956,3185.04,2021-04-14
2020-07-13,43.17329,3155.22,2021-04-14
2020-07-14,44.003289,3197.52,2021-04-14
2020-07-15,43.999956,3226.56,2021-04-14
2020-07-16,44.066623,3215.57,2021-04-14
2020-07-17,43.913289,3224.73,2021-04-14
2020-07-20,43.82329,3251.84,2021-04-14
2020-07-21,44.109956,3257.3,2021-04-14
2020-07-22,44.219956,3276.02,2021-04-14
2020-07-23,43.879956,3235.66,2021-04-14
2020-07-24,43.746623,3215.63,2021-04-14
2020-07-27,43.736623,3239.41,2021-04-14
2020-07-28,43.919956,3218.44,2021-04-14
2020-07-29,43.56329,3258.44,2021-04-14
2020-07-30,43.37329,3246.22,2021-04-14
2020-07-31,43.13329,3271.12,2021-04-14
2020-08-03,43.099957,3294.61,2021-04-14
2020-08-04,43.879956,3306.51,2021-04-14
2020-08-05,43.269957,3327.77,2021-04-14
2020-08-06,43.116624,3349.16,2021-04-14
2020-08-07,43.32329,3351.28,2021-04-14
2020-08-10,43.959956,3360.47,2021-04-14
2020-08-11,43.399957,3333.69,2021-04-14
2020-08-12,43.963289,3380.35,2021-04-14
2020-08-13,43.949956,3373.43,2021-04-14
2020-08-14,44.199956,3372.85,2021-04-14
2020-08-17,45.199955,3381.99,2021-04-14
2020-08-18,44.903288,3389.78,2021-04-14
2020-08-19,44.136623,3374.85,2021-04-14
2020-08-20,43.52329,3385.51,2021-04-14
2020-08-21,43.876623,3397.16,2021-04-14
2020-08-24,43.776623,3431.28,2021-04-14
2020-08-25,43.54329,3443.62,2021-04-14
2020-08-26,43.566623,3478.73,2021-04-14
2020-08-27,45.543288,3484.55,2021-04-14
2020-08-28,46.76662,3508.01,2021-04-14
2020-08-31,46.283287,3500.31,2021-04-14
2020-09-01,49.196617,3526.65,2021-04-14
2020-09-02,49.226617,3580.84,2021-04-14
2020-09-03,48.179952,3455.06,2021-04-14
2020-09-04,47.609952,3426.96,2021-04-14
2020-09-08,46.149954,3331.84,2021-04-14
2020-09-09,46.629953,3398.96,2021-04-14
2020-09-10,45.603288,3339.19,2021-04-14
2020-09-11,45.566621,3340.97,2021-04-14
2020-09-14,45.773288,3383.54,2021-04-14
2020-09-15,45.786621,3401.2,2021-04-14
2020-09-16,45.419955,3385.49,2021-04-14
2020-09-17,45.563288,3357.01,2021-04-14
2020-09-18,45.096622,3319.47,2021-04-14
2020-09-21,45.689954,3281.06,2021-04-14
2020-09-22,46.103287,3315.57,2021-04-14
2020-09-23,45.329955,3236.92,2021-04-14
2020-09-24,45.566621,3246.59,2021-04-14
2020-09-25,45.756621,3298.46,2021-04-14
2020-09-28,45.749954,3351.6,2021-04-14
2020-09-29,45.713288,3335.47,2021-04-14
2020-09-30,46.63662,3363.0,2021-04-14
2020-10-01,47.693286,3380.8,2021-04-14
2020-10-02,46.833287,3348.44,2021-04-14
2020-10-05,47.266619,3408.63,2021-04-14
2020-10-06,46.87662,3360.95,2021-04-14
2020-10-07,46.963286,3419.45,2021-04-14
2020-10-08,47.119953,3446.83,2021-04-14
2020-10-09,47.593286,3477.13,2021-04-14
2020-10-12,48.083285,3534.22,2021-04-14
2020-10-13,48.743285,3511.93,2021-04-14
2020-10-14,47.979952,3488.67,2021-04-14
2020-10-15,48.176618,3483.34,2021-04-14
2020-10-16,48.236618,3483.81,2021-04-14
2020-10-19,47.649952,3426.92,2021-04-14
2020-10-20,47.966619,3443.12,2021-04-14
2020-10-21,48.133285,3435.56,2021-04-14
2020-10-22,47.849952,3453.49,2021-04-14
2020-10-23,47.949952,3465.39,2021-04-14
2020-10-26,47.386619,3400.97,2021-04-14
2020-10-27,47.623286,3390.68,2021-04-14
2020-10-28,46.679953,3271.03,2021-04-14
2020-10-29,46.639953,3310.11,2021-04-14
2020-10-30,46.249954,3269.96,2021-04-14
2020-11-02,46.799953,3310.24,2021-04-14
2020-11-03,47.593286,3369.02,2021-04-14
2020-11-04,47.319953,3443.44,2021-04-14
2020-11-05,47.823286,3510.45,2021-04-14
2020-11-06,48.589951,3509.44,2021-04-14
2020-11-09,47.846619,3550.5,2021-04-14
2020-11-10,48.519951,3545.53,2021-04-14
2020-11-11,49.326617,3572.66,2021-04-14
2020-11-12,49.409951,3537.01,2021-04-14
2020-11-13,50.17995,3585.15,2021-04-14
2020-11-16,50.813283,3626.91,2021-04-14
2020-11-17,49.78995,3609.53,2021-04-14
2020-11-18,49.696617,3567.79,2021-04-14
2020-11-19,50.706616,3581.87,2021-04-14
2020-11-20,50.07995,3557.54,2021-04-14
2020-11-23,50.30995,3577.59,2021-04-14
2020-11-24,50.453283,3635.41,2021-04-14
2020-11-25,50.609949,3629.65,2021-04-14
2020-11-27,50.533283,3638.35,2021-04-14
2020-11-30,50.929949,3621.63,2021-04-14
2020-12-01,50.879949,3662.45,2021-04-14
2020-12-02,50.173283,3669.01,2021-04-14
2020-12-03,49.766617,3666.72,2021-04-14
2020-12-04,49.636617,3699.12,2021-04-14
2020-12-07,49.369951,3691.96,2021-04-14
2020-12-08,49.816617,3702.25,2021-04-14
2020-12-09,49.423284,3672.82,2021-04-14
2020-12-10,49.013284,3668.1,2021-04-14
2020-12-11,48.999951,3663.46,2021-04-14
2020-12-14,48.549951,3647.49,2021-04-14
2020-12-15,48.526618,3694.62,2021-04-14
2020-12-16,48.476618,3701.17,2021-04-14
2020-12-17,48.699951,3722.48,2021-04-14
2020-12-18,48.649951,3709.41,2021-04-14
2020-12-21,48.656618,3694.92,2021-04-14
2020-12-22,48.066619,3687.26,2021-04-14
2020-12-23,47.739952,3690.01,2021-04-14
2020-12-24,47.833286,3703.06,2021-04-14
2020-12-28,48.406618,3735.36,2021-04-14
2020-12-29,48.099952,3727.04,2021-04-14
2020-12-30,48.059952,3732.04,2021-04-14
2020-12-31,48.049952,3756.07,2021-04-14
2021-01-04,48.843284,3700.65,2021-04-14
2021-01-05,48.583285,3726.86,2021-04-14
