Date,Stock,Market,joined date
2020-01-02,27.125339,3257.85,2021-01-12
2020-01-03,27.171487,3234.85,2021-01-12
2020-01-06,27.11611,3246.28,2021-01-12
2020-01-07,26.94075,3237.18,2021-01-12
2020-01-08,27.042274,3253.05,2021-01-12
2020-01-09,27.263781,3274.7,2021-01-12
2020-01-10,27.291469,3265.35,2021-01-12
2020-01-13,27.919072,3288.13,2021-01-12
2020-01-14,28.27902,3283.15,2021-01-12
2020-01-15,28.546674,3289.29,2021-01-12
2020-01-16,28.888163,3316.81,2021-01-12
2020-01-17,28.592821,3329.62,2021-01-12
2020-01-21,28.426691,3320.79,2021-01-12
2020-01-22,28.140578,3321.75,2021-01-12
2020-01-23,28.44515,3325.54,2021-01-12
2020-01-24,28.177496,3295.47,2021-01-12
2020-01-27,27.845236,3243.63,2021-01-12
2020-01-28,28.048284,3276.24,2021-01-12
2020-01-29,27.78063,3273.4,2021-01-12
2020-01-30,27.752942,3283.66,2021-01-12
2020-01-31,26.719244,3225.52,2021-01-12
2020-02-03,26.045494,3248.92,2021-01-12
2020-02-04,26.008576,3297.59,2021-01-12
2020-02-05,26.691555,3334.69,2021-01-12
2020-02-06,26.44236,3345.78,2021-01-12
2020-02-07,26.377754,3327.71,2021-01-12
2020-02-10,26.44236,3352.09,2021-01-12
2020-02-11,26.673096,3357.75,2021-01-12
2020-02-12,27.457599,3379.45,2021-01-12
2020-02-13,27.919072,3373.94,2021-01-12
2020-02-14,28.297479,3380.16,2021-01-12
2020-02-18,27.799089,3370.29,2021-01-12
2020-02-19,28.029825,3386.15,2021-01-12
2020-02-20,28.491297,3373.23,2021-01-12
2020-02-21,28.362085,3337.75,2021-01-12
2020-02-24,27.466829,3225.89,2021-01-12
2020-02-25,25.907053,3128.21,2021-01-12
2020-02-26,25.28868,3116.39,2021-01-12
2020-02-27,24.338047,2978.76,2021-01-12
2020-02-28,23.978098,2954.22,2021-01-12
2020-03-02,25.325597,3090.23,2021-01-12
2020-03-03,24.670307,3003.37,2021-01-12
2020-03-04,26.165477,3130.12,2021-01-12
2020-03-05,24.882584,3023.94,2021-01-12
2020-03-06,24.550324,2972.37,2021-01-12
2020-03-09,22.104521,2746.56,2021-01-12
2020-03-10,22.547534,2882.23,2021-01-12
2020-03-11,20.729334,2741.38,2021-01-12
2020-03-12,17.222145,2480.64,2021-01-12
2020-03-13,20.230944,2711.02,2021-01-12
2020-03-16,15.64391,2386.13,2021-01-12
2020-03-17,17.489799,2529.19,2021-01-12
2020-03-18,14.997848,2398.1,2021-01-12
2020-03-19,14.896324,2409.39,2021-01-12
2020-03-20,13.622661,2304.92,2021-01-12
2020-03-23,12.432063,2237.4,2021-01-12
2020-03-24,15.579303,2447.33,2021-01-12
2020-03-25,16.354577,2475.56,2021-01-12
2020-03-26,16.871426,2630.07,2021-01-12
2020-03-27,15.874646,2541.47,2021-01-12
2020-03-30,15.64391,2626.65,2021-01-12
2020-03-31,15.64391,2584.59,2021-01-12
2020-04-01,14.877866,2470.5,2021-01-12
2020-04-02,14.619441,2526.9,2021-01-12
2020-04-03,14.157969,2488.65,2021-01-12
2020-04-06,15.782351,2663.68,2021-01-12
2020-04-07,15.957711,2659.41,2021-01-12
2020-04-08,17.9605,2749.98,2021-01-12
2020-04-09,19.391064,2789.82,2021-01-12
2020-04-13,18.551185,2761.63,2021-01-12
2020-04-14,18.763462,2846.06,2021-01-12
2020-04-15,17.646699,2783.36,2021-01-12
2020-04-16,17.508257,2799.55,2021-01-12
2020-04-17,18.551185,2874.56,2021-01-12
2020-04-20,17.702076,2823.16,2021-01-12
2020-04-21,17.314439,2736.56,2021-01-12
2020-04-22,17.554405,2799.31,2021-01-12
2020-04-23,17.517487,2797.8,2021-01-12
2020-04-24,18.098942,2836.74,2021-01-12
2020-04-27,19.068034,2878.48,2021-01-12
2020-04-28,19.723324,2863.39,2021-01-12
2020-04-29,20.637039,2939.51,2021-01-12
2020-04-30,20.184797,2912.43,2021-01-12
2020-05-01,16.585313,2830.71,2021-01-12
2020-05-04,16.409953,2842.74,2021-01-12
2020-05-05,16.169988,2868.44,2021-01-12
2020-05-06,16.825278,2848.42,2021-01-12
2020-05-07,17.194456,2881.19,2021-01-12
2020-05-08,18.320449,2929.8,2021-01-12
2020-05-11,17.858976,2930.32,2021-01-12
2020-05-12,16.79759,2870.12,2021-01-12
2020-05-13,15.736204,2820.0,2021-01-12
2020-05-14,16.040776,2852.5,2021-01-12
2020-05-15,15.994628,2863.7,2021-01-12
2020-05-18,17.692846,2953.91,2021-01-12
2020-05-19,17.092932,2922.94,2021-01-12
2020-05-20,17.978959,2971.61,2021-01-12
2020-05-21,17.951271,2948.51,2021-01-12
2020-05-22,18.255842,2955.45,2021-01-12
2020-05-26,19.474129,2991.77,2021-01-12
2020-05-27,20.166338,3036.13,2021-01-12
2020-05-28,19.78793,3029.73,2021-01-12
2020-05-29,18.63425,3044.31,2021-01-12
2020-06-01,19.427982,3055.73,2021-01-12
2020-06-02,20.027896,3080.82,2021-01-12
2020-06-03,20.415533,3122.87,2021-01-12
2020-06-04,20.572433,3112.35,2021-01-12
2020-06-05,21.615361,3193.93,2021-01-12
2020-06-08,22.741353,3232.39,2021-01-12
2020-06-09,21.919932,3207.18,2021-01-12
2020-06-10,21.052364,3190.14,2021-01-12
2020-06-11,19.077263,3002.1,2021-01-12
2020-06-12,20.083273,3041.31,2021-01-12
2020-06-15,20.397074,3066.59,2021-01-12
2020-06-16,21.255412,3124.74,2021-01-12
2020-06-17,20.655498,3113.49,2021-01-12
2020-06-18,20.683187,3115.34,2021-01-12
2020-06-19,20.95084,3097.74,2021-01-12
2020-06-22,20.78471,3117.86,2021-01-12
2020-06-23,21.015447,3131.29,2021-01-12
2020-06-24,20.074043,3050.33,2021-01-12
2020-06-25,20.29555,3083.76,2021-01-12
2020-06-26,19.834078,3009.05,2021-01-12
2020-06-29,20.470909,3053.24,2021-01-12
2020-06-30,20.729334,3100.29,2021-01-12
2020-07-01,20.489368,3115.86,2021-01-12
2020-07-02,20.526286,3130.01,2021-01-12
2020-07-06,20.830858,3179.72,2021-01-12
2020-07-07,20.489368,3145.32,2021-01-12
2020-07-08,20.923152,3169.94,2021-01-12
2020-07-09,20.867775,3152.05,2021-01-12
2020-07-10,21.864556,3185.04,2021-01-12
2020-07-13,21.919932,3155.22,2021-01-12
2020-07-14,22.575223,3197.52,2021-01-12
2020-07-15,23.12899,3226.56,2021-01-12
2020-07-16,23.202825,3215.57,2021-01-12
2020-07-17,23.95041,3224.73,2021-01-12
2020-07-20,23.655068,3251.84,2021-01-12
2020-07-21,23.701215,3257.3,2021-01-12
2020-07-22,24.098081,3276.02,2021-01-12
2020-07-23,24.374965,3235.66,2021-01-12
2020-07-24,24.098081,3215.63,2021-01-12
2020-07-27,25.362515,3239.41,2021-01-12
2020-07-28,25.150238,3218.44,2021-01-12
2020-07-29,26.165477,3258.44,2021-01-12
2020-07-30,26.211624,3246.22,2021-01-12
2020-07-31,25.667087,3271.12,2021-01-12
2020-08-03,25.842446,3294.61,2021-01-12
2020-08-04,25.685546,3306.51,2021-01-12
2020-08-05,26.165477,3327.77,2021-01-12
2020-08-06,25.851676,3349.16,2021-01-12
2020-08-07,26.165477,3351.28,2021-01-12
2020-08-10,26.590031,3360.47,2021-01-12
2020-08-11,26.663867,3333.69,2021-01-12
2020-08-12,26.94998,3380.35,2021-01-12
2020-08-13,26.303919,3373.43,2021-01-12
2020-08-14,26.174706,3372.85,2021-01-12
2020-08-17,26.728473,3381.99,2021-01-12
2020-08-18,26.654638,3389.78,2021-01-12
2020-08-19,26.737703,3374.85,2021-01-12
2020-08-20,26.765391,3385.51,2021-01-12
2020-08-21,26.599261,3397.16,2021-01-12
2020-08-24,26.959209,3431.28,2021-01-12
2020-08-25,26.903833,3443.62,2021-01-12
2020-08-26,27.097651,3478.73,2021-01-12
2020-08-27,27.836007,3484.55,2021-01-12
2020-08-28,28.509756,3508.01,2021-01-12
2020-08-31,27.974448,3500.31,2021-01-12
2020-09-01,28.408232,3526.65,2021-01-12
2020-09-02,28.408232,3580.84,2021-01-12
2020-09-03,27.485288,3455.06,2021-01-12
2020-09-04,26.802309,3426.96,2021-01-12
2020-09-08,25.925511,3331.84,2021-01-12
2020-09-09,26.479278,3398.96,2021-01-12
2020-09-10,26.350066,3339.19,2021-01-12
2020-09-11,26.239313,3340.97,2021-01-12
2020-09-14,26.700785,3383.54,2021-01-12
2020-09-15,26.543884,3401.2,2021-01-12
2020-09-16,26.700785,3385.49,2021-01-12
2020-09-17,26.470049,3357.01,2021-01-12
2020-09-18,25.593251,3319.47,2021-01-12
2020-09-21,24.78106,3281.06,2021-01-12
2020-09-22,25.584022,3315.57,2021-01-12
2020-09-23,24.78106,3236.92,2021-01-12
2020-09-24,24.901043,3246.59,2021-01-12
2020-09-25,25.177926,3298.46,2021-01-12
2020-09-28,26.128559,3351.6,2021-01-12
2020-09-29,25.888594,3335.47,2021-01-12
2020-09-30,26.322378,3363.0,2021-01-12
2020-10-01,26.571573,3380.8,2021-01-12
2020-10-02,26.866915,3348.44,2021-01-12
2020-10-05,27.43914,3408.63,2021-01-12
2020-10-06,26.756161,3360.95,2021-01-12
2020-10-07,27.245322,3419.45,2021-01-12
2020-10-08,27.928301,3446.83,2021-01-12
2020-10-09,27.060733,3477.13,2021-01-12
2020-10-12,27.411452,3534.22,2021-01-12
2020-10-13,27.051504,3511.93,2021-01-12
2020-10-14,27.005356,3488.67,2021-01-12
2020-10-15,27.494517,3483.34,2021-01-12
2020-10-16,27.254552,3483.81,2021-01-12
2020-10-19,27.042274,3426.92,2021-01-12
2020-10-20,27.789859,3443.12,2021-01-12
2020-10-21,27.559123,3435.56,2021-01-12
2020-10-22,26.866915,3453.49,2021-01-12
2020-10-23,27.162257,3465.39,2021-01-12
2020-10-26,26.257771,3400.97,2021-01-12
2020-10-27,25.436351,3390.68,2021-01-12
2020-10-28,25.316368,3271.03,2021-01-12
2020-10-29,26.220854,3310.11,2021-01-12
2020-10-30,25.187156,3269.96,2021-01-12
2020-11-02,25.9532,3310.24,2021-01-12
2020-11-03,26.202395,3369.02,2021-01-12
2020-11-04,26.28546,3443.44,2021-01-12
2020-11-05,26.580802,3510.45,2021-01-12
2020-11-06,26.100871,3509.44,2021-01-12
2020-11-09,25.971659,3550.5,2021-01-12
2020-11-10,25.639399,3545.53,2021-01-12
2020-11-11,26.202395,3572.66,2021-01-12
2020-11-12,25.61171,3537.01,2021-01-12
2020-11-13,26.894603,3585.15,2021-01-12
2020-11-16,27.097651,3626.91,2021-01-12
2020-11-17,26.931521,3609.53,2021-01-12
2020-11-18,26.562343,3567.79,2021-01-12
2020-11-19,26.78385,3581.87,2021-01-12
2020-11-20,26.534655,3557.54,2021-01-12
2020-11-23,26.866915,3577.59,2021-01-12
2020-11-24,26.986898,3635.41,2021-01-12
2020-11-25,26.885374,3629.65,2021-01-12
2020-11-27,26.497737,3638.35,2021-01-12
2020-11-30,26.802309,3621.63,2021-01-12
2020-12-01,27.014586,3662.45,2021-01-12
2020-12-02,26.663867,3669.01,2021-01-12
2020-12-03,27.217634,3666.72,2021-01-12
2020-12-04,28.352855,3699.12,2021-01-12
2020-12-07,27.900613,3691.96,2021-01-12
2020-12-08,28.426691,3702.25,2021-01-12
2020-12-09,29.266571,3672.82,2021-01-12
2020-12-10,29.303488,3668.1,2021-01-12
2020-12-11,29.534224,3663.46,2021-01-12
2020-12-14,29.866484,3647.49,2021-01-12
2020-12-15,30.974018,3694.62,2021-01-12
2020-12-16,31.287819,3701.17,2021-01-12
