Date,Stock,Market,joined date
2020-01-02,36.93,3257.85,2021-07-19
2020-01-03,36.45,3234.85,2021-07-19
2020-01-06,35.9,3246.28,2021-07-19
2020-01-07,35.95,3237.18,2021-07-19
2020-01-08,35.93,3253.05,2021-07-19
2020-01-09,36.6,3274.7,2021-07-19
2020-01-10,36.65,3265.35,2021-07-19
2020-01-13,37.04,3288.13,2021-07-19
2020-01-14,36.78,3283.15,2021-07-19
2020-01-15,36.72,3289.29,2021-07-19
2020-01-16,37.29,3316.81,2021-07-19
2020-01-17,37.33,3329.62,2021-07-19
2020-01-21,36.03,3320.79,2021-07-19
2020-01-22,36.32,3321.75,2021-07-19
2020-01-23,36.23,3325.54,2021-07-19
2020-01-24,35.52,3295.47,2021-07-19
2020-01-27,35.05,3243.63,2021-07-19
2020-01-28,36.78,3276.24,2021-07-19
2020-01-29,36.73,3273.4,2021-07-19
2020-01-30,36.98,3283.66,2021-07-19
2020-01-31,35.57,3225.52,2021-07-19
2020-02-03,36.29,3248.92,2021-07-19
2020-02-04,36.57,3297.59,2021-07-19
2020-02-05,37.62,3334.69,2021-07-19
2020-02-06,37.68,3345.78,2021-07-19
2020-02-07,37.17,3327.71,2021-07-19
2020-02-10,37.69,3352.09,2021-07-19
2020-02-11,37.51,3357.75,2021-07-19
2020-02-12,38.19,3379.45,2021-07-19
2020-02-13,38.21,3373.94,2021-07-19
2020-02-14,37.82,3380.16,2021-07-19
2020-02-18,37.22,3370.29,2021-07-19
2020-02-19,36.77,3386.15,2021-07-19
2020-02-20,36.78,3373.23,2021-07-19
2020-02-21,36.34,3337.75,2021-07-19
2020-02-24,34.86,3225.89,2021-07-19
2020-02-25,36.46,3128.21,2021-07-19
2020-02-26,35.73,3116.39,2021-07-19
2020-02-27,33.83,2978.76,2021-07-19
2020-02-28,32.2,2954.22,2021-07-19
2020-03-02,33.51,3090.23,2021-07-19
2020-03-03,31.87,3003.37,2021-07-19
2020-03-04,33.69,3130.12,2021-07-19
2020-03-05,31.66,3023.94,2021-07-19
2020-03-06,31.29,2972.37,2021-07-19
2020-03-09,27.5,2746.56,2021-07-19
2020-03-10,28.7,2882.23,2021-07-19
2020-03-11,27.84,2741.38,2021-07-19
2020-03-12,23.9,2480.64,2021-07-19
2020-03-13,23.96,2711.02,2021-07-19
2020-03-16,19.94,2386.13,2021-07-19
2020-03-17,19.68,2529.19,2021-07-19
2020-03-18,15.98,2398.1,2021-07-19
2020-03-19,17.46,2409.39,2021-07-19
2020-03-20,16.45,2304.92,2021-07-19
2020-03-23,16.11,2237.4,2021-07-19
2020-03-24,17.53,2447.33,2021-07-19
2020-03-25,18.62,2475.56,2021-07-19
2020-03-26,19.67,2630.07,2021-07-19
2020-03-27,17.66,2541.47,2021-07-19
2020-03-30,17.95,2626.65,2021-07-19
2020-03-31,18.94,2584.59,2021-07-19
2020-04-01,17.6,2470.5,2021-07-19
2020-04-02,18.48,2526.9,2021-07-19
2020-04-03,16.9,2488.65,2021-07-19
2020-04-06,18.71,2663.68,2021-07-19
2020-04-07,18.61,2659.41,2021-07-19
2020-04-08,19.26,2749.98,2021-07-19
2020-04-09,19.36,2789.82,2021-07-19
2020-04-13,18.19,2761.63,2021-07-19
2020-04-14,19.0,2846.06,2021-07-19
2020-04-15,17.27,2783.36,2021-07-19
2020-04-16,16.91,2799.55,2021-07-19
2020-04-17,18.12,2874.56,2021-07-19
2020-04-20,17.83,2823.16,2021-07-19
2020-04-21,16.77,2736.56,2021-07-19
2020-04-22,17.09,2799.31,2021-07-19
2020-04-23,17.39,2797.8,2021-07-19
2020-04-24,17.97,2836.74,2021-07-19
2020-04-27,17.82,2878.48,2021-07-19
2020-04-28,17.74,2863.39,2021-07-19
2020-04-29,19.29,2939.51,2021-07-19
2020-04-30,18.29,2912.43,2021-07-19
2020-05-01,17.03,2830.71,2021-07-19
2020-05-04,16.82,2842.74,2021-07-19
2020-05-05,17.03,2868.44,2021-07-19
2020-05-06,16.7,2848.42,2021-07-19
2020-05-07,17.33,2881.19,2021-07-19
2020-05-08,18.13,2929.8,2021-07-19
2020-05-11,17.58,2930.32,2021-07-19
2020-05-12,16.9,2870.12,2021-07-19
2020-05-13,15.37,2820.0,2021-07-19
2020-05-14,15.39,2852.5,2021-07-19
2020-05-15,14.89,2863.7,2021-07-19
2020-05-18,16.78,2953.91,2021-07-19
2020-05-19,17.38,2922.94,2021-07-19
2020-05-20,17.24,2971.61,2021-07-19
2020-05-21,17.24,2948.51,2021-07-19
2020-05-22,16.98,2955.45,2021-07-19
2020-05-26,17.43,2991.77,2021-07-19
2020-05-27,18.09,3036.13,2021-07-19
2020-05-28,16.81,3029.73,2021-07-19
2020-05-29,15.88,3044.31,2021-07-19
2020-06-01,17.0,3055.73,2021-07-19
2020-06-02,17.21,3080.82,2021-07-19
2020-06-03,17.95,3122.87,2021-07-19
2020-06-04,17.68,3112.35,2021-07-19
2020-06-05,18.46,3193.93,2021-07-19
2020-06-08,19.87,3232.39,2021-07-19
2020-06-09,18.92,3207.18,2021-07-19
2020-06-10,17.8,3190.14,2021-07-19
2020-06-11,16.06,3002.1,2021-07-19
2020-06-12,17.06,3041.31,2021-07-19
2020-06-15,16.79,3066.59,2021-07-19
2020-06-16,17.39,3124.74,2021-07-19
2020-06-17,16.74,3113.49,2021-07-19
2020-06-18,16.56,3115.34,2021-07-19
2020-06-19,16.31,3097.74,2021-07-19
2020-06-22,16.43,3117.86,2021-07-19
2020-06-23,16.33,3131.29,2021-07-19
2020-06-24,15.47,3050.33,2021-07-19
2020-06-25,15.65,3083.76,2021-07-19
2020-06-26,15.06,3009.05,2021-07-19
2020-06-29,15.3,3053.24,2021-07-19
2020-06-30,15.29,3100.29,2021-07-19
2020-07-01,15.15,3115.86,2021-07-19
2020-07-02,15.73,3130.01,2021-07-19
2020-07-06,15.89,3179.72,2021-07-19
2020-07-07,15.13,3145.32,2021-07-19
2020-07-08,15.42,3169.94,2021-07-19
2020-07-09,14.63,3152.05,2021-07-19
2020-07-10,15.49,3185.04,2021-07-19
2020-07-13,15.84,3155.22,2021-07-19
2020-07-14,16.15,3197.52,2021-07-19
2020-07-15,17.21,3226.56,2021-07-19
2020-07-16,17.33,3215.57,2021-07-19
2020-07-17,17.35,3224.73,2021-07-19
2020-07-20,16.85,3251.84,2021-07-19
2020-07-21,16.85,3257.3,2021-07-19
2020-07-22,16.94,3276.02,2021-07-19
2020-07-23,16.81,3235.66,2021-07-19
2020-07-24,15.65,3215.63,2021-07-19
2020-07-27,15.82,3239.41,2021-07-19
2020-07-28,15.21,3218.44,2021-07-19
2020-07-29,15.86,3258.44,2021-07-19
2020-07-30,16.32,3246.22,2021-07-19
2020-07-31,16.65,3271.12,2021-07-19
2020-08-03,16.01,3294.61,2021-07-19
2020-08-04,15.68,3306.51,2021-07-19
2020-08-05,16.12,3327.77,2021-07-19
2020-08-06,16.35,3349.16,2021-07-19
2020-08-07,16.76,3351.28,2021-07-19
2020-08-10,17.83,3360.47,2021-07-19
2020-08-11,17.69,3333.69,2021-07-19
2020-08-12,17.3,3380.35,2021-07-19
2020-08-13,17.5,3373.43,2021-07-19
2020-08-14,17.79,3372.85,2021-07-19
2020-08-17,18.11,3381.99,2021-07-19
2020-08-18,18.19,3389.78,2021-07-19
2020-08-19,18.21,3374.85,2021-07-19
2020-08-20,18.75,3385.51,2021-07-19
2020-08-21,18.76,3397.16,2021-07-19
2020-08-24,19.3,3431.28,2021-07-19
2020-08-25,18.91,3443.62,2021-07-19
2020-08-26,18.79,3478.73,2021-07-19
2020-08-27,19.1,3484.55,2021-07-19
2020-08-28,19.53,3508.01,2021-07-19
2020-08-31,18.86,3500.31,2021-07-19
2020-09-01,18.51,3526.65,2021-07-19
2020-09-02,18.74,3580.84,2021-07-19
2020-09-03,18.37,3455.06,2021-07-19
2020-09-04,18.65,3426.96,2021-07-19
2020-09-08,18.65,3331.84,2021-07-19
2020-09-09,19.01,3398.96,2021-07-19
2020-09-10,18.63,3339.19,2021-07-19
2020-09-11,19.09,3340.97,2021-07-19
2020-09-14,19.23,3383.54,2021-07-19
2020-09-15,18.9,3401.2,2021-07-19
2020-09-16,19.24,3385.49,2021-07-19
2020-09-17,19.48,3357.01,2021-07-19
2020-09-18,18.92,3319.47,2021-07-19
2020-09-21,18.07,3281.06,2021-07-19
2020-09-22,18.24,3315.57,2021-07-19
2020-09-23,17.81,3236.92,2021-07-19
2020-09-24,17.79,3246.59,2021-07-19
2020-09-25,17.98,3298.46,2021-07-19
2020-09-28,18.58,3351.6,2021-07-19
2020-09-29,18.46,3335.47,2021-07-19
2020-09-30,18.77,3363.0,2021-07-19
2020-10-01,18.67,3380.8,2021-07-19
2020-10-02,19.05,3348.44,2021-07-19
2020-10-05,19.64,3408.63,2021-07-19
2020-10-06,19.71,3360.95,2021-07-19
2020-10-07,20.23,3419.45,2021-07-19
2020-10-08,20.16,3446.83,2021-07-19
2020-10-09,19.88,3477.13,2021-07-19
2020-10-12,20.15,3534.22,2021-07-19
2020-10-13,19.93,3511.93,2021-07-19
2020-10-14,20.01,3488.67,2021-07-19
2020-10-15,20.12,3483.34,2021-07-19
2020-10-16,20.08,3483.81,2021-07-19
2020-10-19,19.72,3426.92,2021-07-19
2020-10-20,19.61,3443.12,2021-07-19
2020-10-21,19.54,3435.56,2021-07-19
2020-10-22,19.89,3453.49,2021-07-19
2020-10-23,19.73,3465.39,2021-07-19
2020-10-26,18.92,3400.97,2021-07-19
2020-10-27,18.52,3390.68,2021-07-19
2020-10-28,17.23,3271.03,2021-07-19
2020-10-29,17.65,3310.11,2021-07-19
2020-10-30,17.38,3269.96,2021-07-19
2020-11-02,18.13,3310.24,2021-07-19
2020-11-03,18.69,3369.02,2021-07-19
2020-11-04,18.25,3443.44,2021-07-19
2020-11-05,19.04,3510.45,2021-07-19
2020-11-06,19.16,3509.44,2021-07-19
2020-11-09,21.5,3550.5,2021-07-19
2020-11-10,21.62,3545.53,2021-07-19
2020-11-11,21.22,3572.66,2021-07-19
2020-11-12,20.41,3537.01,2021-07-19
2020-11-13,21.64,3585.15,2021-07-19
2020-11-16,22.7,3626.91,2021-07-19
2020-11-17,22.16,3609.53,2021-07-19
2020-11-18,21.87,3567.79,2021-07-19
2020-11-19,21.91,3581.87,2021-07-19
2020-11-20,21.91,3557.54,2021-07-19
2020-11-23,22.59,3577.59,2021-07-19
2020-11-24,23.55,3635.41,2021-07-19
2020-11-25,23.38,3629.65,2021-07-19
2020-11-27,23.22,3638.35,2021-07-19
2020-11-30,21.89,3621.63,2021-07-19
2020-12-01,22.16,3662.45,2021-07-19
2020-12-02,22.66,3669.01,2021-07-19
2020-12-03,22.72,3666.72,2021-07-19
2020-12-04,23.35,3699.12,2021-07-19
2020-12-07,22.98,3691.96,2021-07-19
2020-12-08,22.86,3702.25,2021-07-19
2020-12-09,22.86,3672.82,2021-07-19
2020-12-10,22.86,3668.1,2021-07-19
2020-12-11,22.76,3663.46,2021-07-19
2020-12-14,22.74,3647.49,2021-07-19
2020-12-15,23.76,3694.62,2021-07-19
2020-12-16,23.03,3701.17,2021-07-19
2020-12-17,23.13,3722.48,2021-07-19
2020-12-18,22.86,3709.41,2021-07-19
2020-12-21,22.38,3694.92,2021-07-19
2020-12-22,22.38,3687.26,2021-07-19
2020-12-23,22.78,3690.01,2021-07-19
2020-12-24,22.58,3703.06,2021-07-19
2020-12-28,23.28,3735.36,2021-07-19
2020-12-29,22.91,3727.04,2021-07-19
2020-12-30,22.89,3732.04,2021-07-19
2020-12-31,23.19,3756.07,2021-07-19
2021-01-04,22.46,3700.65,2021-07-19
2021-01-05,22.85,3726.86,2021-07-19
2021-01-06,23.2,3748.14,2021-07-19
2021-01-07,23.58,3803.79,2021-07-19
2021-01-08,23.55,3824.68,2021-07-19
2021-01-11,23.44,3799.61,2021-07-19
2021-01-12,23.22,3801.19,2021-07-19
2021-01-13,22.94,3809.84,2021-07-19
2021-01-14,23.04,3795.54,2021-07-19
2021-01-15,22.49,3768.25,2021-07-19
2021-01-19,21.09,3798.91,2021-07-19
2021-01-20,21.05,3851.85,2021-07-19
2021-01-21,21.35,3853.07,2021-07-19
2021-01-22,21.07,3841.47,2021-07-19
2021-01-25,20.75,3855.36,2021-07-19
2021-01-26,21.07,3849.62,2021-07-19
2021-01-27,20.87,3750.77,2021-07-19
2021-01-28,21.22,3787.38,2021-07-19
2021-01-29,21.03,3714.24,2021-07-19
2021-02-01,22.59,3773.86,2021-07-19
2021-02-02,22.85,3826.31,2021-07-19
2021-02-03,23.57,3830.17,2021-07-19
2021-02-04,23.17,3871.74,2021-07-19
2021-02-05,23.5,3886.83,2021-07-19
2021-02-08,24.24,3915.59,2021-07-19
2021-02-09,23.94,3911.23,2021-07-19
2021-02-10,23.52,3909.88,2021-07-19
2021-02-11,23.58,3916.38,2021-07-19
2021-02-12,23.71,3934.83,2021-07-19
2021-02-16,23.95,3932.59,2021-07-19
2021-02-17,23.44,3931.33,2021-07-19
2021-02-18,23.3,3913.97,2021-07-19
2021-02-19,23.66,3906.71,2021-07-19
2021-02-22,24.36,3876.5,2021-07-19
2021-02-23,24.65,3881.37,2021-07-19
2021-02-24,25.32,3925.43,2021-07-19
2021-02-25,25.35,3829.34,2021-07-19
2021-02-26,25.48,3811.15,2021-07-19
2021-03-01,25.77,3901.82,2021-07-19
2021-03-02,25.82,3870.29,2021-07-19
2021-03-03,25.62,3819.72,2021-07-19
2021-03-04,25.57,3768.47,2021-07-19
2021-03-05,26.09,3841.94,2021-07-19
2021-03-08,26.7,3821.35,2021-07-19
2021-03-09,26.51,3875.44,2021-07-19
2021-03-10,26.53,3898.81,2021-07-19
2021-03-11,26.58,3939.34,2021-07-19
2021-03-12,26.91,3943.34,2021-07-19
2021-03-15,26.06,3968.94,2021-07-19
2021-03-16,25.62,3962.71,2021-07-19
2021-03-17,26.02,3974.12,2021-07-19
2021-03-18,24.8,3915.46,2021-07-19
2021-03-19,24.79,3913.1,2021-07-19
2021-03-22,24.84,3940.59,2021-07-19
2021-03-23,23.63,3910.52,2021-07-19
2021-03-24,23.48,3889.14,2021-07-19
2021-03-25,24.43,3909.52,2021-07-19
2021-03-26,24.98,3974.54,2021-07-19
2021-03-29,24.25,3971.09,2021-07-19
2021-03-30,24.5,3958.55,2021-07-19
2021-03-31,24.27,3972.89,2021-07-19
2021-04-01,24.59,4019.87,2021-07-19
2021-04-05,24.78,4077.91,2021-07-19
2021-04-06,25.05,4073.94,2021-07-19
2021-04-07,25.0,4079.95,2021-07-19
2021-04-08,24.73,4097.17,2021-07-19
2021-04-09,24.89,4128.8,2021-07-19
2021-04-12,24.93,4127.99,2021-07-19
2021-04-13,24.54,4141.59,2021-07-19
2021-04-14,24.69,4124.66,2021-07-19
2021-04-15,24.74,4170.42,2021-07-19
2021-04-16,25.07,4185.47,2021-07-19
2021-04-19,25.32,4163.26,2021-07-19
2021-04-20,23.71,4134.94,2021-07-19
2021-04-21,24.32,4173.42,2021-07-19
2021-04-22,23.96,4134.98,2021-07-19
2021-04-23,24.38,4180.17,2021-07-19
2021-04-26,24.42,4187.62,2021-07-19
2021-04-27,24.25,4186.72,2021-07-19
2021-04-28,24.52,4183.18,2021-07-19
2021-04-29,24.61,4211.47,2021-07-19
2021-04-30,24.14,4181.17,2021-07-19
2021-05-03,24.1,4192.66,2021-07-19
2021-05-04,23.84,4164.66,2021-07-19
2021-05-05,23.87,4167.59,2021-07-19
2021-05-06,24.32,4201.62,2021-07-19
2021-05-07,24.47,4232.6,2021-07-19
2021-05-10,24.14,4188.43,2021-07-19
2021-05-11,23.98,4152.1,2021-07-19
2021-05-12,22.85,4063.04,2021-07-19
2021-05-13,23.17,4112.5,2021-07-19
2021-05-14,24.21,4173.85,2021-07-19
2021-05-17,24.31,4163.29,2021-07-19
2021-05-18,23.72,4127.83,2021-07-19
2021-05-19,23.82,4115.68,2021-07-19
2021-05-20,23.68,4159.12,2021-07-19
2021-05-21,23.74,4155.86,2021-07-19
2021-05-24,23.89,4197.05,2021-07-19
2021-05-25,23.39,4188.13,2021-07-19
2021-05-26,23.75,4195.99,2021-07-19
2021-05-27,23.99,4200.88,2021-07-19
2021-05-28,23.45,4204.11,2021-07-19
2021-06-01,23.42,4202.04,2021-07-19
2021-06-02,24.04,4208.12,2021-07-19
2021-06-03,23.99,4192.85,2021-07-19
2021-06-04,24.19,4229.89,2021-07-19
2021-06-07,24.07,4226.52,2021-07-19
2021-06-08,24.82,4227.26,2021-07-19
2021-06-09,25.16,4219.55,2021-07-19
2021-06-10,25.09,4239.18,2021-07-19
2021-06-11,25.27,4247.44,2021-07-19
2021-06-14,24.41,4255.15,2021-07-19
2021-06-15,24.55,4246.59,2021-07-19
2021-06-16,24.65,4223.7,2021-07-19
2021-06-17,23.63,4221.86,2021-07-19
2021-06-18,23.43,4166.45,2021-07-19
2021-06-21,23.75,4224.79,2021-07-19
2021-06-22,23.38,4246.44,2021-07-19
2021-06-23,23.43,4241.84,2021-07-19
2021-06-24,23.83,4266.49,2021-07-19
2021-06-25,24.33,4280.7,2021-07-19
2021-06-28,23.83,4290.61,2021-07-19
2021-06-29,23.34,4291.8,2021-07-19
2021-06-30,23.49,4297.5,2021-07-19
2021-07-01,23.82,4319.94,2021-07-19
2021-07-02,24.03,4352.34,2021-07-19
2021-07-06,23.7,4343.54,2021-07-19
2021-07-07,24.1,4358.13,2021-07-19
2021-07-08,23.82,4320.82,2021-07-19
2021-07-09,24.11,4369.55,2021-07-19
2021-07-12,24.07,4384.63,2021-07-19
2021-07-13,23.38,4369.21,2021-07-19
2021-07-14,23.6,4374.3,2021-07-19
2021-07-15,23.32,4360.03,2021-07-19
2021-07-16,22.56,4327.16,2021-07-19
2021-07-19,21.95,4258.49,2021-07-19
2021-07-20,22.61,4323.06,2021-07-19
2021-07-21,23.7,4358.69,2021-07-19
2021-07-22,23.25,4367.48,2021-07-19
2021-07-23,23.43,4411.79,2021-07-19
2021-07-26,23.62,4422.3,2021-07-19
2021-07-27,24.81,4401.46,2021-07-19
2021-07-28,24.38,4400.64,2021-07-19
2021-07-29,24.28,4419.15,2021-07-19
2021-07-30,24.13,4395.26,2021-07-19
2021-08-02,24.08,4387.16,2021-07-19
2021-08-03,24.37,4423.15,2021-07-19
2021-08-04,23.44,4402.66,2021-07-19
2021-08-05,23.48,4429.1,2021-07-19
2021-08-06,23.95,4436.52,2021-07-19
2021-08-09,23.81,4432.35,2021-07-19
2021-08-10,24.0,4436.75,2021-07-19
2021-08-11,24.33,4447.7,2021-07-19
2021-08-12,24.16,4460.83,2021-07-19
2021-08-13,23.9,4468.0,2021-07-19
2021-08-16,23.77,4479.71,2021-07-19
2021-08-17,23.47,4448.08,2021-07-19
2021-08-18,22.98,4400.27,2021-07-19
2021-08-19,22.26,4405.8,2021-07-19
2021-08-20,22.5,4441.67,2021-07-19
2021-08-23,22.6,4479.53,2021-07-19
2021-08-24,22.84,4486.23,2021-07-19
2021-08-25,22.88,4496.19,2021-07-19
2021-08-26,22.34,4470.0,2021-07-19
2021-08-27,22.84,4509.37,2021-07-19
2021-08-30,22.37,4528.79,2021-07-19
2021-08-31,22.51,4522.68,2021-07-19
2021-09-01,22.39,4524.09,2021-07-19
2021-09-02,23.22,4536.95,2021-07-19
2021-09-03,22.51,4535.43,2021-07-19
2021-09-07,21.77,4520.03,2021-07-19
2021-09-08,21.15,4514.07,2021-07-19
2021-09-09,21.2,4493.28,2021-07-19
2021-09-10,20.76,4458.58,2021-07-19
2021-09-13,20.92,4468.73,2021-07-19
2021-09-14,20.59,4443.05,2021-07-19
2021-09-15,21.0,4480.7,2021-07-19
2021-09-16,20.98,4473.75,2021-07-19
2021-09-17,20.98,4432.99,2021-07-19
2021-09-20,20.89,4357.73,2021-07-19
2021-09-21,20.18,4354.19,2021-07-19
2021-09-22,20.32,4395.64,2021-07-19
2021-09-23,20.68,4448.98,2021-07-19
2021-09-24,20.77,4455.48,2021-07-19
2021-09-27,21.32,4443.11,2021-07-19
2021-09-28,21.1,4352.63,2021-07-19
2021-09-29,20.43,4359.46,2021-07-19
2021-09-30,20.17,4307.54,2021-07-19
2021-10-01,21.0,4357.04,2021-07-19
2021-10-04,20.82,4300.46,2021-07-19
2021-10-05,21.09,4345.72,2021-07-19
2021-10-06,20.99,4363.55,2021-07-19
2021-10-07,21.16,4399.76,2021-07-19
2021-10-08,21.05,4391.34,2021-07-19
2021-10-11,20.7,4361.19,2021-07-19
2021-10-12,20.63,4350.65,2021-07-19
2021-10-13,20.25,4363.8,2021-07-19
2021-10-14,20.4,4438.26,2021-07-19
2021-10-15,20.52,4471.37,2021-07-19
2021-10-18,20.11,4486.46,2021-07-19
2021-10-19,20.45,4519.63,2021-07-19
2021-10-20,20.55,4536.19,2021-07-19
2021-10-21,20.86,4549.78,2021-07-19
2021-10-22,20.74,4544.9,2021-07-19
2021-10-25,20.57,4566.48,2021-07-19
2021-10-26,18.2,4574.79,2021-07-19
2021-10-27,17.79,4551.68,2021-07-19
2021-10-28,18.0,4596.42,2021-07-19
2021-10-29,17.8,4605.38,2021-07-19
2021-11-01,18.58,4613.67,2021-07-19
2021-11-02,19.2,4630.65,2021-07-19
2021-11-03,19.44,4660.57,2021-07-19
2021-11-04,18.85,4680.06,2021-07-19
2021-11-05,19.53,4697.53,2021-07-19
2021-11-08,19.53,4701.7,2021-07-19
2021-11-09,19.86,4685.25,2021-07-19
2021-11-10,19.76,4646.71,2021-07-19
