Date,Stock,Market,joined date
2020-01-02,79.85,3257.85,2021-05-10
2020-01-03,80.32,3234.85,2021-05-10
2020-01-06,79.8,3246.28,2021-05-10
2020-01-07,79.5,3237.18,2021-05-10
2020-01-08,79.77,3253.05,2021-05-10
2020-01-09,80.13,3274.7,2021-05-10
2020-01-10,79.94,3265.35,2021-05-10
2020-01-13,81.28,3288.13,2021-05-10
2020-01-14,81.37,3283.15,2021-05-10
2020-01-15,82.45,3289.29,2021-05-10
2020-01-16,83.16,3316.81,2021-05-10
2020-01-17,83.46,3329.62,2021-05-10
2020-01-21,82.4,3320.79,2021-05-10
2020-01-22,82.21,3321.75,2021-05-10
2020-01-23,82.36,3325.54,2021-05-10
2020-01-24,81.48,3295.47,2021-05-10
2020-01-27,80.22,3243.63,2021-05-10
2020-01-28,81.27,3276.24,2021-05-10
2020-01-29,83.17,3273.4,2021-05-10
2020-01-30,83.66,3283.66,2021-05-10
2020-01-31,81.66,3225.52,2021-05-10
2020-02-03,83.34,3248.92,2021-05-10
2020-02-04,86.51,3297.59,2021-05-10
2020-02-05,87.61,3334.69,2021-05-10
2020-02-06,83.12,3345.78,2021-05-10
2020-02-07,84.2,3327.71,2021-05-10
2020-02-10,85.72,3352.09,2021-05-10
2020-02-11,87.24,3357.75,2021-05-10
2020-02-12,89.13,3379.45,2021-05-10
2020-02-13,87.05,3373.94,2021-05-10
2020-02-14,88.14,3380.16,2021-05-10
2020-02-18,88.05,3370.29,2021-05-10
2020-02-19,87.96,3386.15,2021-05-10
2020-02-20,88.66,3373.23,2021-05-10
2020-02-21,88.52,3337.75,2021-05-10
2020-02-24,86.43,3225.89,2021-05-10
2020-02-25,84.33,3128.21,2021-05-10
2020-02-26,83.93,3116.39,2021-05-10
2020-02-27,80.66,2978.76,2021-05-10
2020-02-28,77.34,2954.22,2021-05-10
2020-03-02,82.29,3090.23,2021-05-10
2020-03-03,79.88,3003.37,2021-05-10
2020-03-04,85.32,3130.12,2021-05-10
2020-03-05,82.46,3023.94,2021-05-10
2020-03-06,81.22,2972.37,2021-05-10
2020-03-09,75.94,2746.56,2021-05-10
2020-03-10,76.79,2882.23,2021-05-10
2020-03-11,73.24,2741.38,2021-05-10
2020-03-12,64.82,2480.64,2021-05-10
2020-03-13,72.12,2711.02,2021-05-10
2020-03-16,65.05,2386.13,2021-05-10
2020-03-17,71.82,2529.19,2021-05-10
2020-03-18,65.49,2398.1,2021-05-10
2020-03-19,64.46,2409.39,2021-05-10
2020-03-20,59.89,2304.92,2021-05-10
2020-03-23,56.64,2237.4,2021-05-10
2020-03-24,62.0,2447.33,2021-05-10
2020-03-25,63.86,2475.56,2021-05-10
2020-03-26,68.01,2630.07,2021-05-10
2020-03-27,65.5,2541.47,2021-05-10
2020-03-30,66.24,2626.65,2021-05-10
2020-03-31,65.13,2584.59,2021-05-10
2020-04-01,59.77,2470.5,2021-05-10
2020-04-02,63.4,2526.9,2021-05-10
2020-04-03,60.5,2488.65,2021-05-10
2020-04-06,65.19,2663.68,2021-05-10
2020-04-07,66.19,2659.41,2021-05-10
2020-04-08,69.09,2749.98,2021-05-10
2020-04-09,69.34,2789.82,2021-05-10
2020-04-13,68.19,2761.63,2021-05-10
2020-04-14,70.4,2846.06,2021-05-10
2020-04-15,67.12,2783.36,2021-05-10
2020-04-16,66.58,2799.55,2021-05-10
2020-04-17,69.59,2874.56,2021-05-10
2020-04-20,69.26,2823.16,2021-05-10
2020-04-21,68.08,2736.56,2021-05-10
