Date,Stock,Market,joined date
2020-01-02,102.17,3257.85,2021-08-03
2020-01-03,101.85,3234.85,2021-08-03
2020-01-06,101.79,3246.28,2021-08-03
2020-01-07,101.97,3237.18,2021-08-03
2020-01-08,102.15,3253.05,2021-08-03
2020-01-09,102.96,3274.7,2021-08-03
2020-01-10,101.69,3265.35,2021-08-03
2020-01-13,100.34,3288.13,2021-08-03
2020-01-14,100.72,3283.15,2021-08-03
2020-01-15,101.24,3289.29,2021-08-03
2020-01-16,102.16,3316.81,2021-08-03
2020-01-17,105.4,3329.62,2021-08-03
2020-01-21,105.6,3320.79,2021-08-03
2020-01-22,106.49,3321.75,2021-08-03
2020-01-23,105.98,3325.54,2021-08-03
2020-01-24,104.98,3295.47,2021-08-03
2020-01-27,104.39,3243.63,2021-08-03
2020-01-28,104.82,3276.24,2021-08-03
2020-01-29,106.63,3273.4,2021-08-03
2020-01-30,106.6,3283.66,2021-08-03
2020-01-31,105.77,3225.52,2021-08-03
2020-02-03,106.41,3248.92,2021-08-03
2020-02-04,106.71,3297.59,2021-08-03
2020-02-05,106.78,3334.69,2021-08-03
2020-02-06,103.74,3345.78,2021-08-03
2020-02-07,102.04,3327.71,2021-08-03
2020-02-10,102.87,3352.09,2021-08-03
2020-02-11,104.05,3357.75,2021-08-03
2020-02-12,105.34,3379.45,2021-08-03
2020-02-13,105.03,3373.94,2021-08-03
2020-02-14,105.28,3380.16,2021-08-03
2020-02-18,104.03,3370.29,2021-08-03
2020-02-19,105.19,3386.15,2021-08-03
2020-02-20,103.87,3373.23,2021-08-03
2020-02-21,103.51,3337.75,2021-08-03
2020-02-24,100.25,3225.89,2021-08-03
2020-02-25,97.95,3128.21,2021-08-03
2020-02-26,97.5,3116.39,2021-08-03
2020-02-27,92.67,2978.76,2021-08-03
2020-02-28,89.25,2954.22,2021-08-03
2020-03-02,92.53,3090.23,2021-08-03
2020-03-03,91.31,3003.37,2021-08-03
2020-03-04,94.63,3130.12,2021-08-03
2020-03-05,90.92,3023.94,2021-08-03
2020-03-06,89.4,2972.37,2021-08-03
2020-03-09,83.7,2746.56,2021-08-03
2020-03-10,86.78,2882.23,2021-08-03
2020-03-11,80.97,2741.38,2021-08-03
2020-03-12,78.45,2480.64,2021-08-03
2020-03-13,78.46,2711.02,2021-08-03
2020-03-16,69.83,2386.13,2021-08-03
2020-03-17,65.49,2529.19,2021-08-03
2020-03-18,60.69,2398.1,2021-08-03
2020-03-19,62.6,2409.39,2021-08-03
2020-03-20,58.08,2304.92,2021-08-03
2020-03-23,56.52,2237.4,2021-08-03
2020-03-24,69.66,2447.33,2021-08-03
2020-03-25,72.87,2475.56,2021-08-03
2020-03-26,75.75,2630.07,2021-08-03
2020-03-27,68.53,2541.47,2021-08-03
2020-03-30,70.67,2626.65,2021-08-03
2020-03-31,68.53,2584.59,2021-08-03
2020-04-01,67.65,2470.5,2021-08-03
2020-04-02,66.05,2526.9,2021-08-03
2020-04-03,63.3,2488.65,2021-08-03
2020-04-06,70.5,2663.68,2021-08-03
2020-04-07,71.35,2659.41,2021-08-03
2020-04-08,75.37,2749.98,2021-08-03
2020-04-09,80.37,2789.82,2021-08-03
2020-04-13,77.06,2761.63,2021-08-03
2020-04-14,79.89,2846.06,2021-08-03
2020-04-15,77.64,2783.36,2021-08-03
2020-04-16,80.11,2799.55,2021-08-03
2020-04-17,84.17,2874.56,2021-08-03
2020-04-20,82.07,2823.16,2021-08-03
2020-04-21,81.2,2736.56,2021-08-03
2020-04-22,86.79,2799.31,2021-08-03
2020-04-23,85.61,2797.8,2021-08-03
2020-04-24,85.89,2836.74,2021-08-03
2020-04-27,88.19,2878.48,2021-08-03
2020-04-28,88.27,2863.39,2021-08-03
2020-04-29,87.46,2939.51,2021-08-03
2020-04-30,86.43,2912.43,2021-08-03
2020-05-01,83.81,2830.71,2021-08-03
2020-05-04,83.09,2842.74,2021-08-03
2020-05-05,83.28,2868.44,2021-08-03
2020-05-06,83.17,2848.42,2021-08-03
2020-05-07,84.6,2881.19,2021-08-03
2020-05-08,86.18,2929.8,2021-08-03
2020-05-11,86.37,2930.32,2021-08-03
2020-05-12,84.0,2870.12,2021-08-03
2020-05-13,80.44,2820.0,2021-08-03
2020-05-14,83.29,2852.5,2021-08-03
