Date,Stock,Market,joined date
2020-01-03,413.778920308483,10699.82,2021-11-07
2020-01-06,413.326446280992,10665.41,2021-11-07
2020-01-07,414.081022574994,10686.8,2021-11-07
2020-01-08,411.933860531993,10652.16,2021-11-07
2020-01-09,410.646387832698,10650.97,2021-11-07
2020-01-10,411.70420652062,10639.49,2021-11-07
2020-01-13,410.116410837541,10622.41,2021-11-07
2020-01-14,413.461538461541,10655.82,2021-11-07
2020-01-15,409.189918058295,10670.74,2021-11-07
2020-01-16,411.758606387392,10693.52,2021-11-07
2020-01-17,415.909090909091,10841.82,2021-11-07
2020-01-20,420.807934703998,10846.29,2021-11-07
2020-01-21,421.00371747212,10884.51,2021-11-07
2020-01-22,421.101581068515,10895.07,2021-11-07
2020-01-23,420.150717456384,10813.94,2021-11-07
2020-01-24,425.334706488158,10849.75,2021-11-07
2020-01-27,415.721064576026,10675.96,2021-11-07
2020-01-28,418.688322368421,10781.98,2021-11-07
2020-01-29,421.068859198356,10859.88,2021-11-07
2020-01-30,419.271639327349,10748.92,2021-11-07
2020-01-31,416.095534787122,10627.88,2021-11-07
2020-02-03,418.142280211247,10664.95,2021-11-07
2020-02-04,422.084623323014,10800.64,2021-11-07
2020-02-05,427.044800657625,10994.15,2021-11-07
2020-02-06,427.545155993434,11012.36,2021-11-07
2020-02-07,427.22716579728,11001.53,2021-11-07
2020-02-10,430.399181166836,11039.78,2021-11-07
2020-02-11,433.432407502304,11101.17,2021-11-07
2020-02-12,430.733053879972,11089.24,2021-11-07
2020-02-13,437.908496732026,11092.35,2021-11-07
2020-02-14,441.038696537677,11128.81,2021-11-07
2020-02-17,446.31385744876,11168.45,2021-11-07
2020-02-18,445.631166717528,11146.28,2021-11-07
2020-02-19,447.189183694216,11263.01,2021-11-07
2020-02-20,441.406647016973,11154.53,2021-11-07
2020-02-21,442.0245398773,11110.78,2021-11-07
2020-02-24,422.294880964544,10712.84,2021-11-07
2020-02-25,415.368852459018,10478.51,2021-11-07
2020-02-26,416.402170574382,10512.15,2021-11-07
2020-02-27,403.472509301365,10205.46,2021-11-07
2020-02-28,384.232880969648,9831.03,2021-11-07
2020-03-02,396.934626212073,9950.83,2021-11-07
2020-03-03,408.682008368201,10087.4,2021-11-07
2020-03-04,410.264450716003,10251.39,2021-11-07
2020-03-05,407.278112768435,10143.57,2021-11-07
2020-03-06,394.259496372172,9736.82,2021-11-07
2020-03-09,361.837837837837,9196.6,2021-11-07
2020-03-10,354.900500159625,9195.93,2021-11-07
2020-03-11,354.53286459998,9152.5,2021-11-07
2020-03-12,304.016106813605,8270.44,2021-11-07
2020-03-13,305.497051390059,8367.56,2021-11-07
2020-03-16,284.824163058401,8227.08,2021-11-07
2020-03-17,288.999895930899,8493.04,2021-11-07
2020-03-18,275.780119859475,8338.74,2021-11-07
2020-03-19,286.670724284845,8782.24,2021-11-07
2020-03-20,288.19057273188,8623.86,2021-11-07
2020-03-23,275.266632808533,8160.79,2021-11-07
2020-03-24,312.990320937342,8733.32,2021-11-07
2020-03-25,337.565270809869,8989.16,2021-11-07
2020-03-26,350.98650051921,9203.98,2021-11-07
